№ п/п;Реестровый №;Наименование юридического лица, которому имущество области передано в пользование;Почтовый адрес;Балансовая стоимость основных средств, тыс. руб.; Остаточная стоимость основных средств, тыс. руб.;Незавершенное строительство (размер затрат), тыс.руб;Материальные запасы, тыс.руб.;
190;3922;Управление социальной защиты населения Кичменгско-Городецкого муниципального района;161400 с.Кичменгский Городок, ул.Комсомольская, 9;1081,15098;621,26307;;;
191;3923;Управление социальной защиты населения Бабаевского муниципального района Вологодской области;162480 г.Бабаево, ул.Ухтомского, 1;1030,39791;697,88388;;;
192;3924;Бюджетное учреждение социального обслуживания Вашкинского муниципального района "Комплексный центр социального обслуживания населения";161250 Вашкинский р-н, с.Липин Бор, ул.Смирнова, 4;1989,96629;277,227;;36,8;
193;3925;Управление социальной защиты населения администрации Грязовецкого муниципального района;162000 г.Грязовец, ул.Карла Маркса, 58;1647,64876;614,90623;;;
194;3928;Отдел социальной защиты населения администрации Тарногского муниципального района;161560 с.Тарногский Городок, ул.Октябрьская, 14;3759,10766;2946,7942;;;
195;3929;Управление социальной защиты населения Тотемского муниципального района;161300 г.Тотьма, ул.Белоусовская, 34;1089,19376;653,55507;;;
196;3930;Комитет социальной защиты населения г.Череповца;162606 г.Череповец, ул.Сталеваров, 54;21839,59891;11816,1048;;;
197;3933;Управление социальной защиты населения Вологодского муниципального района;160000 г.Вологда, ул.Пушкинская, 24;1592,41843;734,23238;;;
198;3934;Управление социальной защиты населения Сокольского муниципального района;162130 г.Сокол, ул.Советская, 73;2940,87694;2173,7682;;;
199;3936;Управление труда и социальной защиты населения Междуреченского муниципального района;161050 Междуреченский р-н, с.Шуйское, ул.Советская, 14;2215,44201;972,48136;;;
200;3938;Муниципальное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, "Детский дом № 5";160028 г.Вологда, ул.Лечебная, 26;9023,66492;3326,40268;;;
201;3939;Управление социальной защиты населения Верховажского муниципального района;162300 с.Верховажье, ул.Стебенева, 30;908,70292;595,21093;;;
202;3940;Управление социальной защиты населения Нюксенского муниципального района;161380 Нюксенский р-н, с.Нюксеница, ул.Первомайская, 13-а;2097,3719;877,75438;;;
203;3941;Управление социальной защиты населения Сямженского муниципального района;162220 с.Сямжа, ул.Румянцева, 20;797,848;332,66283;;;
204;3942;Управление социальной защиты населения Шекснинского муниципального района;162562 п.Шексна, ул.Пролетарская, 14;2440,39172;759,11043;;;
205;3976;Главное управление Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий по Вологодской области;160009 г.Вологда, ул.Мальцева, 41;405,30507;0;14178,88524;;
206;3980;Управление социальной защиты населения администрации Кирилловского муниципального района;161100 г.Кириллов, ул.Гостинодворская, 14;1167,47554;802,78639;;;
207;3981;Управление социальной защиты населения администрации Великоустюгского муниципального района;162390 г.Великий Устюг, ул.Красная, 51;4164,1989;2003,84096;;;
208;3982;Бюджетное учреждение социального обслуживания Кирилловского муниципального района "Топорнинский дом-интернат для престарелых и инвалидов";161104 Кирилловский р-н, м.Топорня, ул.Старый канал, 6;429,88333;85,6174;;;
209;3983;Управление социальной защиты населения Никольского муниципального района;161440 г.Никольск, ул.Советская, 92;1212,80054;611,74176;;;
210;3985;Управление социальной защиты населения администрации Устюженского муниципального района;162840 г.Устюжна, ул.Корелякова, 10;1037,62492;796,22979;;;
211;3986;Управление социальной защиты населения Харовского муниципального района;162250 г.Харовск, пл.Октябрьская, 3;1004,20342;609,1345;;;
212;3987;Управление социальной защиты населения Вытегорского муниципального района;162900 г.Вытегра, Советский пр-кт, 17;7296,22148;7002,26839;;;
213;3988;Управление социальной защиты населения администрации Усть-Кубинского муниципального района;161140 Усть-Кубинский р-н, с.Устье, ул.Новый переулок, 2;3135,37549;1476,59953;;;
214;3989;Управление социальной защиты населения администрации Вожегодского муниципального района;162160 п.Вожега, ул.Садовая, 15;894,7447;543,82795;;;
